TC Name,TC_Num,TC_Spec,TC_Type,Position_x,Position_y,Position_z
Glass TC 1,,,,360,395,256
Glass TC 2,,,,817,395,256
Glass TC 3,,,,1274,395,256
Glass TC 4,,,,1731,395,256
Glass TC 5,,,,2188,395,256
Glass TC 6,,,,360,888,256
Glass TC 7,,,,817,888,256
Glass TC 8,,,,1274,888,256
Glass TC 9,,,,1731,888,256
Glass TC 10,,,,2188,888,256
Glass TC 11,,,,360,1381,256
Glass TC 12,,,,817,1381,256
Glass TC 13,,,,1274,1381,256
Glass TC 14,,,,1731,1381,256
Glass TC 15,,,,2188,1381,256
Glass TC 16,,,,360,1874,256
Glass TC 17,,,,817,1874,256
Glass TC 18,,,,1274,1874,256
Glass TC 19,,,,1731,1874,256
Glass TC 20,,,,2188,1874,256
Glass TC 21,,,,360,395,406
Glass TC 22,,,,817,395,406
Glass TC 23,,,,1274,395,406
Glass TC 24,,,,1731,395,406
Glass TC 25,,,,2188,395,406
Glass TC 26,,,,360,888,406
Glass TC 27,,,,817,888,406
Glass TC 28,,,,1274,888,406
Glass TC 29,,,,1731,888,406
Glass TC 30,,,,2188,888,406
Glass TC 31,,,,360,1381,406
Glass TC 32,,,,817,1381,406
Glass TC 33,,,,1274,1381,406
Glass TC 34,,,,1731,1381,406
Glass TC 35,,,,2188,1381,406
Glass TC 36,,,,360,1874,406
Glass TC 37,,,,817,1874,406
Glass TC 38,,,,1274,1874,406
Glass TC 39,,,,1731,1874,406
Glass TC 40,,,,2188,1874,406
Glass TC 41,,,,360,395,556
Glass TC 42,,,,817,395,556
Glass TC 43,,,,1274,395,556
Glass TC 44,,,,1731,395,556
Glass TC 45,,,,2188,395,556
Glass TC 46,,,,360,888,556
Glass TC 47,,,,817,888,556
Glass TC 48,,,,1274,888,556
Glass TC 49,,,,1731,888,556
Glass TC 50,,,,2188,888,556
Glass TC 51,,,,360,1381,556
Glass TC 52,,,,817,1381,556
Glass TC 53,,,,1274,1381,556
Glass TC 54,,,,1731,1381,556
Glass TC 55,,,,2188,1381,556
Glass TC 56,,,,360,1874,556
Glass TC 57,,,,817,1874,556
Glass TC 58,,,,1274,1874,556
Glass TC 59,,,,1731,1874,556
Glass TC 60,,,,2188,1874,556
Glass TC 61,,,,360,395,706
Glass TC 62,,,,817,395,706
Glass TC 63,,,,1274,395,706
Glass TC 64,,,,1731,395,706
Glass TC 65,,,,2188,395,706
Glass TC 66,,,,360,888,706
Glass TC 67,,,,817,888,706
Glass TC 68,,,,1274,888,706
Glass TC 69,,,,1731,888,706
Glass TC 70,,,,2188,888,706
Glass TC 71,,,,360,1381,706
Glass TC 72,,,,817,1381,706
Glass TC 73,,,,1274,1381,706
Glass TC 74,,,,1731,1381,706
Glass TC 75,,,,2188,1381,706
Glass TC 76,,,,360,1874,706
Glass TC 77,,,,817,1874,706
Glass TC 78,,,,1274,1874,706
Glass TC 79,,,,1731,1874,706
Glass TC 80,,,,2188,1874,706
Glass TC 81,,,,360,395,856
Glass TC 82,,,,817,395,856
Glass TC 83,,,,1274,395,856
Glass TC 84,,,,1731,395,856
Glass TC 85,,,,2188,395,856
Glass TC 86,,,,360,888,856
Glass TC 87,,,,817,888,856
Glass TC 88,,,,1274,888,856
Glass TC 89,,,,1731,888,856
Glass TC 90,,,,2188,888,856
Glass TC 91,,,,360,1381,856
Glass TC 92,,,,817,1381,856
Glass TC 93,,,,1274,1381,856
Glass TC 94,,,,1731,1381,856
Glass TC 95,,,,2188,1381,856
Glass TC 96,,,,360,1874,856
Glass TC 97,,,,817,1874,856
Glass TC 98,,,,1274,1874,856
Glass TC 99,,,,1731,1874,856
Glass TC 100,,,,2188,1874,856
Glass TC 101,,,,360,395,1006
Glass TC 102,,,,817,395,1006
Glass TC 103,,,,1274,395,1006
Glass TC 104,,,,1731,395,1006
Glass TC 105,,,,2188,395,1006
Glass TC 106,,,,360,888,1006
Glass TC 107,,,,817,888,1006
Glass TC 108,,,,1274,888,1006
Glass TC 109,,,,1731,888,1006
Glass TC 110,,,,2188,888,1006
Glass TC 111,,,,360,1381,1006
Glass TC 112,,,,817,1381,1006
Glass TC 113,,,,1274,1381,1006
Glass TC 114,,,,1731,1381,1006
Glass TC 115,,,,2188,1381,1006
Glass TC 116,,,,360,1874,1006
Glass TC 117,,,,817,1874,1006
Glass TC 118,,,,1274,1874,1006
Glass TC 119,,,,1731,1874,1006
Glass TC 120,,,,2188,1874,1006
Glass TC 121,,,,360,395,1156
Glass TC 122,,,,817,395,1156
Glass TC 123,,,,1274,395,1156
Glass TC 124,,,,1731,395,1156
Glass TC 125,,,,2188,395,1156
Glass TC 126,,,,360,888,1156
Glass TC 127,,,,817,888,1156
Glass TC 128,,,,1274,888,1156
Glass TC 129,,,,1731,888,1156
Glass TC 130,,,,2188,888,1156
Glass TC 131,,,,360,1381,1156
Glass TC 132,,,,817,1381,1156
Glass TC 133,,,,1274,1381,1156
Glass TC 134,,,,1731,1381,1156
Glass TC 135,,,,2188,1381,1156
Glass TC 136,,,,360,1874,1156
Glass TC 137,,,,817,1874,1156
Glass TC 138,,,,1274,1874,1156
Glass TC 139,,,,1731,1874,1156
Glass TC 140,,,,2188,1874,1156
